id,firstname,lastname,birthdate,country,position,foot,height
63,Martin,Terrier,1997-03-04,France,Forward,right,183
64,Th\u00e9odore,Efouba Ayissi,1997-05-05,Cameroon,Defender,right,184
65,Tyronne,Ebuehi,1995-12-16,Netherlands,Defender,right,187
66,Patrick,Burner,1996-04-11,Martinique,Defender,right,170
67,Samuel,Grandsir,1996-08-14,France,Forward,right,168
68,V\u00edctor,L\u00f3pez Ib\u00e1\u00f1ez,1997-05-12,Spain,Defender,right,0
69,Jean Micha\u00ebl,Seri,1991-07-19,C\u00f4te d'Ivoire,Midfielder,right,168
70,Gerard,Gumbau Garriga,1994-12-18,Spain,Midfielder,left,187
71,Pablo,Maffeo Becerra,1997-07-12,Spain,Defender,right,173
72,Artur,J\u0119drzejczyk,1987-11-04,Poland,Defender,right,189
73,Maciej,Rybus,1989-08-19,Poland,Defender,left,173
74,Marcin,Kami\u0144ski,1992-01-15,Poland,Defender,left,192
75,Karim,Onisiwo,1992-03-17,Austria,Midfielder,right,188
76,Artjoms,Rud\u0146evs,1988-01-13,Latvia,Forward,left,183
77,\u0141ukasz,Skorupski,1991-05-05,Poland,Goalkeeper,right,190
78,Pawe\u0142,Olkowski,1990-02-13,Poland,Defender,right,184
79,Arkadiusz,Milik,1994-02-28,Poland,Forward,left,186
80,Pr\u00e9juce Niguimb\u00e9,Nakoulma,1987-04-21,Burkina Faso,Forward,right,178
81,Gianluca,Pegolo,1981-03-25,Italy,Goalkeeper,left,183
82,Mariusz,St\u0119pi\u0144ski,1995-05-12,Poland,Forward,right,183
83,Duje,\u0106aleta-Car,1996-09-17,Croatia,Defender,right,192
84,Edvinas,Gertmonas,1996-06-01,Lithuania,Goalkeeper,right,192
85,Hrvoje,Mili\u0107,1989-05-10,Croatia,Defender,left,183
86,Jonathan,Klinsmann,1997-04-08,United States,Goalkeeper,right,194
87,Francesco,Vicari,1994-08-03,Italy,Defender,right,190
88,Alex,Ferrari,1994-07-01,Italy,Defender,right,183
89,Emil,Berggreen,1993-05-10,Denmark,Forward,right,194
90,Igor,Lewczuk,1985-05-30,Poland,Defender,right,189
91,Cheick,Keita,1996-04-16,France,Defender,left,182
92,Carlos,Calder\u00f3n L\u00f3pez,1995-04-14,Spain,Midfielder,right,182
93,Thiago,Rangel Cionek,1986-04-21,Brazil,Defender,right,183
94,Rodrigo,Bentancur Colm\u00e1n,1997-06-25,Uruguay,Midfielder,right,185
95,Bernardo,Fernandes da Silva Junior,1995-05-14,Brazil,Defender,left,186
96,Rafa\u0142,Gikiewicz,1987-10-26,Poland,Goalkeeper,right,190
97,Alessandro,Deiola,1995-08-01,Italy,Midfielder,right,190
98,Nadiem,Amiri,1996-10-27,Germany,Midfielder,right,180
99,Yeray,\u00c1lvarez L\u00f3pez,1995-01-24,Spain,Defender,right,183
100,\u00cd\u00f1igo,Lekue Mart\u00ednez,1993-05-04,Spain,Defender,right,180
101,Ali,Gabr,1989-01-10,Egypt,Defender,right,193
102,Pere,Pons Riera,1993-02-20,Spain,Midfielder,right,177
103,Federico Nicol\u00e1s,Cartabia,1993-01-20,Argentina,Midfielder,left,169
104,Bartosz,Bereszy\u0144ski,1992-07-12,Poland,Defender,right,183
105,\u00d3lafur Ingi,Sk\u00falason,1983-04-01,Iceland,Midfielder,right,183
106,Dominik,Kohr,1994-01-31,Germany,Midfielder,right,183
107,Piotr,Zieli\u0144ski,1994-05-20,Poland,Midfielder,right,180
108,Jemerson,de Jesus Nascimento,1992-08-24,Brazil,Defender,right,184
109,Youri,Tielemans,1997-05-07,Belgium,Midfielder,right,176
110,Timothy,Castagne,1995-12-05,Belgium,Defender,right,185
111,Kenny,Tete,1995-10-09,Netherlands,Defender,right,180
112,Viktor,Fischer,1994-06-09,Denmark,Forward,right,180
113,Riechedly,Bazoer,1996-10-12,Netherlands,Midfielder,right,184
114,Oussama,Tannane,1994-03-23,Netherlands,Forward,left,177
115,Presnel,Kimpembe,1995-08-13,France,Defender,left,183
116,Kingsley,Coman,1996-06-13,France,Forward,right,178
117,Gabriel,Barbosa Almeida,1996-08-30,Brazil,Forward,left,178
118,Mamadou,Sissako,1996-04-20,France,Forward,right,171
119,\u015eener,\u00d6zbayrakl\u0131,1990-01-23,Turkey,Defender,right,171
120,Andrey,Semenov,1989-03-24,Russia,Defender,right,190
121,Yoel,Armougom,1998-06-05,Reunion,Defender,left,173
122,K\u00e9vin Lucien,Zohi,1996-12-19,C\u00f4te d'Ivoire,Forward,right,177
123,Igor,Zubeld\u00eda Elorza,1997-03-30,Spain,Midfielder,right,180
124,George,Gope-Fenepej,1988-10-23,New Caledonia,Forward,right,182
125,Pierluigi,Gollini,1995-03-18,Italy,Goalkeeper,right,188
126,Ezequiel,Ponce Mart\u00ednez,1997-03-29,Argentina,Forward,right,178
127,Enrico,Bearzotti,1996-10-20,Italy,Midfielder,right,180
128,Emiliano,Viviano,1985-12-01,Italy,Goalkeeper,left,195
129,Maximiliano,G\u00f3mez Gonz\u00e1lez,1996-08-14,Uruguay,Forward,right,186
130,Moctar El Hacen,El Id,1997-12-31,Mauritania,Midfielder,right,181
131,Thomas,Strakosha,1995-03-19,Greece,Goalkeeper,right,186
132,Marcus,Coco,1996-06-24,Guadeloupe,Midfielder,right,184
133,Joel,Pohjanpalo,1994-09-13,Finland,Forward,right,185
134,Miguel \u00c1ngel,Trauco Saavedra,1992-08-25,Peru,Defender,left,175
135,Vincent,Laurini,1989-06-10,France,Defender,right,173
136,Firmin Ndombe,Mubele,1994-04-17,Congo DR,Forward,right,170
137,Anton\u00edn,Bar\u00e1k,1994-12-03,Czech Republic,Midfielder,left,190
138,Manuel,Akanji,1995-07-19,Switzerland,Defender,right,187
139,Samuel,Castillejo Azuaga,1995-01-18,Spain,Midfielder,left,182
140,Filip,Manojlovi\u0107,1996-04-25,Serbia,Goalkeeper,right,197
141,Rub\u00e9n,Sobrino Pozuelo,1992-02-16,Spain,Forward,right,185
142,Vasili,Berezutski,1982-06-20,Russia,Defender,right,189
143,Julio C\u00e9sar,Villalba Gaona,1998-09-11,Paraguay,Forward,right,174
144,Onyinye Wilfred,Ndidi,1996-12-16,Nigeria,Midfielder,right,187
145,Abdullahi,Shehu,1993-03-12,Nigeria,Defender,right,181
146,Tom\u00e1\u0161,Hubo\u010dan,1985-09-17,Slovakia,Defender,right,184
147,Bruno Eduardo,Regufe Alves,1981-11-27,Portugal,Defender,right,187
148,Achraf,Hakimi Mouh,1998-11-04,Spain,Defender,right,179
149,Eloi,Amagat Arimany,1985-05-21,Spain,Midfielder,right,180
150,Vicente,Guaita Panadero,1987-01-10,Spain,Goalkeeper,right,190
151,Jordi,Alba Ramos,1989-03-21,Spain,Defender,left,170
152,Antonio,Barrag\u00e1n Fern\u00e1ndez,1987-06-12,Spain,Defender,right,183
153,Igor,Akinfeev,1986-04-08,Russia,Goalkeeper,right,186
154,Adil,Rami,1985-12-27,France,Defender,right,190
155,V\u00edctor,Ru\u00edz Torre,1989-01-25,Spain,Defender,left,185
156,Sabin,Merino Zuloaga,1992-01-04,Spain,Forward,right,187
157,\u00c9ver Maximiliano David,Banega,1988-06-29,Argentina,Midfielder,right,174
158,Juan,Bernat Velasco,1993-03-01,Spain,Defender,left,170
159,Sergio,Canales Madrazo,1991-02-16,Spain,Midfielder,left,180
160,Daniel,Parejo Mu\u00f1oz,1989-04-16,Spain,Midfielder,right,182
161,Cristian,Portugu\u00e9s Manzanera,1992-05-21,Spain,Midfielder,right,178
162,Keisuke,Honda,1986-06-13,Japan,Midfielder,left,182
163,Mehmet,Topal,1986-03-03,Turkey,Midfielder,right,187
164,Aritz,Aduriz Zubeldia,1981-02-11,Spain,Forward,right,182
165,Francisco,Alc\u00e1cer Garc\u00eda,1993-08-30,Spain,Forward,right,175
166,Pablo Daniel,Piatti,1989-03-31,Argentina,Forward,left,163
167,Antonio,Ad\u00e1n Garrido,1987-05-13,Spain,Goalkeeper,left,191
168,Fernando,Pacheco Flores,1992-05-18,Spain,Goalkeeper,left,186
169,Dalbert Henrique,Chagas Estev\u00e3o,1993-09-08,Brazil,Defender,left,181
170,Ahmed,Musa,1992-10-14,Nigeria,Forward,right,171
171,Jos\u00e9 Ignacio,Fern\u00e1ndez Iglesias,1990-01-18,Spain,Defender,right,180
172,Sergio,Ramos Garc\u00eda,1986-03-30,Spain,Defender,right,184
173,Ricardo Alberto,Silveira de Carvalho,1978-05-18,Portugal,Defender,right,183
174,Pedro Filipe,Teod\u00f3sio Mendes,1990-10-01,Switzerland,Defender,right,186
175,Rapha\u00ebl,Varane,1993-04-25,France,Defender,right,191
176,Marcelo,Vieira da Silva J\u00fanior,1988-05-12,Brazil,Defender,left,174
177,Niklas,S\u00fcle,1995-09-03,Germany,Defender,right,195
178,Jos\u00e9 Mar\u00eda,Callej\u00f3n Bueno,1987-02-11,Spain,Forward,right,178
179,Lassana,Diarra,1985-03-10,France,Midfielder,right,173
180,Esteban F\u00e9lix,Granero Molina,1987-07-02,Spain,Midfielder,right,180
181,Sami,Khedira,1987-04-04,Germany,Midfielder,right,189
182,Mesut,\u00d6zil,1988-10-15,Germany,Midfielder,left,180
183,Nuri,\u015eahin,1988-09-05,Germany,Midfielder,left,180
184,Karim,Benzema,1987-12-19,France,Forward,right,185
185,Cristiano Ronaldo,dos Santos Aveiro,1985-02-05,Portugal,Forward,right,187
186,Gonzalo Gerardo,Higua\u00edn,1987-12-10,France,Forward,right,184
187,Juan Francisco,Moreno Fuertes,1988-09-11,Spain,Defender,right,180
188,Oier,Olaz\u00e1bal Paredes,1989-09-14,Spain,Goalkeeper,left,189
189,Felipe Salvador,Caicedo Corozo,1988-09-05,Ecuador,Forward,left,183
190,Daniel,Alves da Silva,1983-05-06,Brazil,Defender,right,172
191,Marc,Bartra Aregall,1991-01-15,Spain,Defender,right,184
192,Andreu,Font\u00e0s Prat,1989-11-14,Spain,Defender,left,186
193,Sergi,G\u00f3mez Sol\u00e0,1992-07-28,Spain,Defender,right,185
194,Mart\u00edn,Montoya Torralbo,1991-04-14,Spain,Defender,right,175
195,Marc,Muniesa Mart\u00ednez,1992-03-27,Spain,Defender,left,179
196,Alessio,Cragno,1994-06-28,Italy,Goalkeeper,right,183
197,Rafael,Alc\u00e2ntara do Nascimento,1993-02-12,Brazil,Midfielder,left,174
198,Thiago,Alc\u00e2ntara do Nascimento,1991-04-11,Spain,Midfielder,right,174
199,Sergio,Busquets i Burgos,1988-07-16,Spain,Midfielder,right,189
200,Sergi,Roberto Carnicer,1992-02-07,Spain,Defender,right,178
201,Filippo,Costa,1995-05-21,Italy,Defender,left,176
202,Jonathan,dos Santos Ram\u00edrez,1990-04-26,Mexico,Midfielder,right,172
203,Andr\u00e9s,Iniesta Luj\u00e1n,1984-05-11,Spain,Midfielder,right,171
204,Daniele,Rugani,1994-07-29,Italy,Defender,right,188
205,Leonardo,Capezzi,1995-03-28,Italy,Midfielder,right,178
206,Cristian,Tello Herrera,1991-08-11,Spain,Forward,right,178
207,Lionel Andr\u00e9s,Messi Cuccittini,1987-06-24,Argentina,Forward,left,170
208,Alberto,Grassi,1995-03-07,Italy,Midfielder,right,184
209,Artem,Dzyuba,1988-08-22,Russia,Forward,right,196
210,Jos\u00e9 Andr\u00e9s,Guardado Hern\u00e1ndez,1986-09-28,Mexico,Midfielder,left,169
211,Alexandr,Samedov,1984-07-19,Russia,Midfielder,right,177
212,Kepa,Arrizabalaga Revuelta,1994-10-03,Spain,Goalkeeper,right,189
213,Ra\u00fal,Fern\u00e1ndez-Cavada Mateos,1988-03-13,Spain,Goalkeeper,right,196
214,Gorka,Iraizoz Moreno,1981-03-06,Spain,Goalkeeper,right,191
215,Riccardo,Piscitelli,1993-10-10,Italy,Goalkeeper,right,185
216,Jon\u00e1s,Ramalho Chimeno,1993-06-10,Spain,Defender,right,181
217,Enric,Saborit Teixidor,1992-04-27,Spain,Defender,left,187
218,Mikel,San Jos\u00e9 Dom\u00ednguez,1989-05-30,Spain,Midfielder,right,187
219,Ander,Iturraspe Derteano,1989-03-08,Spain,Midfielder,right,187
220,Javier,Mart\u00ednez Aginaga,1988-09-02,Spain,Midfielder,right,190
221,Markel,Susaeta Laskurain,1987-12-14,Spain,Midfielder,right,179
222,\u00d3scar,de Marcos Arana,1989-04-14,Spain,Defender,right,182
223,Ibai,G\u00f3mez P\u00e9rez,1989-11-11,Spain,Midfielder,right,177
224,Iker,Muniain Go\u00f1i,1992-12-19,Spain,Forward,right,169
225,Sergio,Asenjo Andr\u00e9s,1989-06-28,Spain,Goalkeeper,right,189
226,Cl\u00e9ment,Lenglet,1995-06-17,France,Defender,left,186
227,Diego Roberto,God\u00edn Leal,1986-02-16,Uruguay,Defender,right,187
228,Filipe Luis,Kasmirski,1985-08-09,Brazil,Defender,left,182
229,Seko,Fofana,1995-05-07,France,Midfielder,right,183
230,Cristian Daniel,Ansaldi,1986-09-20,Argentina,Defender,left,181
231,Jorge,Resurrecci\u00f3n Merodio,1992-01-08,Spain,Midfielder,right,177
232,Eduardo Antonio,Salvio,1990-07-13,Argentina,Midfielder,right,173
233,Juan Francisco,Torres Bel\u00e9n,1985-01-09,Spain,Defender,right,180
234,Arda,Turan,1987-01-30,Turkey,Midfielder,right,175
235,Radamel Falcao,Garc\u00eda Z\u00e1rate,1986-02-10,Colombia,Forward,right,177
236,Adri\u00e1n,L\u00f3pez \u00c1lvarez,1988-01-08,Spain,Forward,right,183
237,Sergio,Rico Gonz\u00e1lez,1993-09-01,Spain,Goalkeeper,right,194
238,Jorge,And\u00fajar Moreno,1987-04-26,Spain,Defender,right,177
239,Federico Juli\u00e1n,Fazio,1987-03-17,Argentina,Defender,right,195
240,Antonio Manuel,Luna Rodr\u00edguez,1991-03-17,Spain,Defender,left,178
241,Fernando,Navarro i Corbacho,1982-06-25,Spain,Defender,left,177
242,Alexis,Ruano Delgado,1985-08-04,Spain,Defender,right,183
243,Layvin,Kurzawa,1992-09-04,France,Defender,left,182
244,Jos\u00e9 \u00c1ngel,G\u00f3mez Campa\u00f1a,1993-05-31,Spain,Midfielder,right,179
245,Jes\u00fas,Navas Gonz\u00e1lez,1985-11-21,Spain,Midfielder,right,172
246,Diego,Perotti,1988-07-26,Argentina,Forward,right,179
247,Ivan,Rakiti\u0107,1988-03-10,Switzerland,Midfielder,right,184
248,Luis Alberto,Romero Alconchel,1992-09-28,Spain,Midfielder,right,182
249,Ahmet Yilmaz,\u00c7al\u0131k,1994-02-26,Turkey,Defender,right,184
250,Andr\u00e9s Eduardo,Fern\u00e1ndez Moreno,1986-12-17,Spain,Goalkeeper,right,185
251,Asier,Riesgo Unamuno,1983-10-06,Spain,Goalkeeper,right,185
252,Lacina,Traor\u00e9,1990-08-20,C\u00f4te d'Ivoire,Forward,right,203
253,Marcos Danilo,Ure\u00f1a Porras,1990-03-05,Costa Rica,Forward,right,179
254,Sergio,Postigo Redondo,1988-11-04,Spain,Defender,right,185
255,Ra\u00fal,Garc\u00eda Escudero,1986-07-11,Spain,Midfielder,right,184
256,Masoud,Shojaei Soleimani,1984-06-09,Iran,Midfielder,right,184
257,David,Timor Copov\u00ed,1989-10-17,Spain,Midfielder,left,186
258,Enrique,Sola Clemente,1986-02-25,Spain,Forward,right,184
259,Diego,L\u00f3pez Rodr\u00edguez,1981-11-03,Spain,Goalkeeper,right,196
260,Igor,Smolnikov,1988-08-08,Russia,Defender,right,178
261,Mateo Pablo,Musacchio,1990-08-26,Argentina,Defender,right,182
262,Bernardo,Mota Veiga de Carvalho e Silva,1994-08-10,Portugal,Midfielder,left,173
263,Cristian Eduardo,Zapata Valencia,1986-09-30,Colombia,Defender,right,187
264,Jaume Vicent,Costa Jord\u00e1,1988-03-18,Spain,Defender,left,171
265,Jonathan,de Guzm\u00e1n,1987-09-13,Canada,Midfielder,right,173
266,Mubarak,Wakaso,1990-07-25,Ghana,Midfielder,left,171
267,Hern\u00e1n Arsenio,P\u00e9rez Gonz\u00e1lez,1989-02-25,Paraguay,Midfielder,right,180
268,Bruno,Soriano Llido,1984-06-12,Spain,Midfielder,left,184
269,Manuel,Trigueros Mu\u00f1oz,1991-10-17,Spain,Midfielder,right,178
270,Mehdi,Carcela-Gonz\u00e1lez,1989-07-01,Belgium,Midfielder,left,176
271,Giuseppe,Rossi,1987-02-01,United States,Forward,left,173
272,Wilfredo Daniel,Caballero,1981-09-28,Argentina,Goalkeeper,right,186
273,Rub\u00e9n Iv\u00e1n,Mart\u00ednez Andrade,1984-06-22,Spain,Goalkeeper,right,188
274,Federico Santiago,Valverde Dipetta,1998-07-22,Uruguay,Midfielder,right,181
275,\u00cdan,Pino Soler,1996-01-23,Spain,Defender,right,0
276,Sergio,S\u00e1nchez Ortega,1986-04-03,Spain,Defender,right,185
277,Francisco Rom\u00e1n,Alarc\u00f3n Su\u00e1rez,1992-04-21,Spain,Midfielder,right,176
278,Ignacio,Camacho Barnola,1990-03-07,Spain,Midfielder,right,183
279,Jos\u00e9 Luis,Garc\u00eda del Pozo,1991-01-11,Spain,Midfielder,right,182
280,Eliseu,Pereira dos Santos,1983-10-01,Portugal,Defender,left,176
281,Joaqu\u00edn,S\u00e1nchez Rodr\u00edguez,1981-07-21,Spain,Midfielder,right,179
282,Francisco,Portillo Soler,1990-06-13,Spain,Midfielder,right,169
283,J\u00e9r\u00e9my,Toulalan,1983-09-10,France,Midfielder,right,183
284,Juan Miguel,Jim\u00e9nez L\u00f3pez,1993-05-20,Spain,Forward,right,172
285,Be\u00f1at,Etxebarria Urkiaga,1987-02-19,Spain,Midfielder,right,177
286,Rub\u00e9n,Castro Mart\u00edn,1981-06-27,Spain,Forward,right,174
287,Jorge,Molina Vidal,1982-04-22,Spain,Forward,right,188
288,Divock,Okoth Origi,1995-04-18,Belgium,Forward,right,185
289,Iv\u00e1n,Ramis Barrios,1984-10-25,Spain,Defender,right,188
290,Pedro,Bigas Rigo,1990-09-15,Spain,Defender,left,181
291,Gonzalo,Castro Iriz\u00e1bal,1984-09-14,Uruguay,Midfielder,left,178
292,Tom\u00e1s,Pina Isla,1987-10-14,Spain,Midfielder,right,185
293,Antonio Miguel,Ram\u00edrez Mart\u00ednez,1986-11-23,Spain,Goalkeeper,right,191
294,Alberto,De La Bella Madure\u00f1o,1985-12-02,Spain,Defender,left,179
295,\u00cd\u00f1igo,Mart\u00ednez Berridi,1991-05-17,Spain,Defender,left,182
296,Carlos,Mart\u00ednez D\u00edez,1986-04-09,Spain,Defender,right,189
297,Asier,Illarramendi Andonegi,1990-03-08,Spain,Midfielder,right,179
298,Rub\u00e9n,Pardo Guti\u00e9rrez,1992-10-22,Spain,Midfielder,right,181
299,Xabier,Prieto Argarate,1983-08-29,Spain,Midfielder,right,187
300,David,Zurutuza Veillet,1986-07-19,France,Midfielder,right,186
301,Imanol,Agirretxe Arruti,1987-02-24,Spain,Forward,right,187
302,Antoine,Griezmann,1991-03-21,France,Forward,left,175
303,Carlos Alberto,Vela Garrido,1989-03-01,Mexico,Forward,left,177
304,Bernardo Jos\u00e9,Espinosa Z\u00fa\u00f1iga,1989-07-11,Colombia,Defender,right,192
305,\u00c1lvaro,Gonz\u00e1lez Sober\u00f3n,1990-01-08,Spain,Defender,right,183
306,Yannick,Ferreira Carrasco,1993-09-04,Belgium,Forward,right,180
307,Papakouli,Diop,1986-03-19,Senegal,Midfielder,right,179
308,Adri\u00e1n,Gonz\u00e1lez Morales,1988-05-25,Spain,Midfielder,left,183
309,Jairo,Samperio Bustara,1993-07-11,Spain,Midfielder,right,173
310,Khouma,El Hadji Babacar,1993-03-17,Senegal,Forward,right,185
311,Cristhian Ricardo,Stuani Curbelo,1986-10-12,Uruguay,Forward,right,184
312,Roberto,Jim\u00e9nez Gago,1986-02-10,Spain,Goalkeeper,right,192
313,Nemanja,Maksimovi\u0107,1995-01-26,Serbia,Midfielder,right,184
314,Sergej,Milinkovi\u0107-Savi\u0107,1995-02-27,Spain,Midfielder,right,192
315,Hernani,Azevedo J\u00fanior,1994-03-27,Brazil,Midfielder,right,188
316,Juan Carlos,P\u00e9rez L\u00f3pez,1990-03-30,Spain,Defender,left,179
317,Franco,Zuculini,1990-09-05,Argentina,Midfielder,right,176
318,Mikel,Balenziaga Oruesagasti,1988-02-29,Spain,Defender,left,177
319,Alberto,Bueno Calvo,1988-03-20,Spain,Forward,right,179
320,Francisco,Casilla Cort\u00e9s,1986-10-02,Spain,Goalkeeper,right,191
321,Jordi,Amat Maas,1992-03-21,Spain,Defender,right,185
322,Zouhair,Feddal,1989-12-23,Morocco,Defender,left,190
323,H\u00e9ctor Alfredo,Moreno Herrera,1988-01-17,Mexico,Defender,left,183
324,D\u00eddac,Vil\u00e1 Rossell\u00f3,1989-06-09,Spain,Defender,left,185
325,Stanislav,Lobotka,1994-11-22,Slovakia,Midfielder,right,170
326,Philippe,Coutinho Correia,1992-06-12,Brazil,Forward,right,171
327,Sergi,Darder Moll,1993-12-22,Spain,Midfielder,right,180
328,Javier,L\u00f3pez Rodr\u00edguez,1986-01-21,Spain,Defender,right,180
329,Sergio,Garc\u00eda De La Fuente,1983-06-09,Spain,Forward,right,174
330,Boubakary,Soumar\u00e9,1999-02-27,France,Midfielder,right,188
331,Sergio,\u00c1lvarez Conde,1986-08-03,Spain,Goalkeeper,right,179
332,Rub\u00e9n,Blanco Veiga,1995-07-25,Spain,Goalkeeper,right,188
333,Yoel,Rodr\u00edguez Oterino,1988-08-28,Spain,Goalkeeper,right,186
334,Hugo,Mallo Novegil,1991-06-22,Spain,Defender,right,173
335,Houssem,Aouar,1998-06-30,France,Midfielder,right,175
336,Iago,Aspas Juncal,1987-08-01,Spain,Forward,left,176
337,Fabi\u00e1n Ariel,Orellana Valenzuela,1986-01-27,Chile,Midfielder,right,168
338,Yury,Gazinskiy,1989-07-20,Russia,Midfielder,right,184
339,Francisco Jos\u00e9,Molinero Calder\u00f3n,1985-07-26,Spain,Defender,right,175
340,Domagoj,Vida,1989-04-29,Croatia,Defender,right,184
341,Milan,Badelj,1989-02-25,Croatia,Midfielder,right,186
342,Manuel Rolando,Iturra Urrutia,1984-06-23,Chile,Midfielder,right,174
343,Mateo,Kova\u010di\u0107,1994-05-06,Austria,Midfielder,right,178
344,\u0160ime,Vrsaljko,1992-01-10,Croatia,Defender,right,181
345,Enrique,Garc\u00eda Mart\u00ednez,1989-11-25,Spain,Forward,right,186
346,Andrej,Kramari\u0107,1991-06-19,Croatia,Forward,right,177
347,Pontus,Wernbloom,1986-06-25,Sweden,Midfielder,right,187
348,L\u00e9o,Lacroix,1992-02-27,Switzerland,Defender,right,197
349,Leandro Daniel,Cabrera Sas\u00eda,1991-06-17,Uruguay,Defender,left,187
350,Keylor,Navas Gamboa,1986-12-15,Costa Rica,Goalkeeper,right,185
351,Gustavo Daniel,Cabral C\u00e1ceres,1985-10-14,Argentina,Defender,right,182
352,Iv\u00e1n,L\u00f3pez Mendoza,1993-08-23,Spain,Defender,right,175
353,Pedro,L\u00f3pez Mu\u00f1oz,1983-11-01,Spain,Defender,right,174
354,Nabil,El Zhar,1986-08-27,France,Midfielder,right,171
355,Roger,Mart\u00ed Salvador,1991-01-03,Spain,Forward,right,179
