id,firstname,lastname,birthdate,country
181,Aurélien,Petit,1987-07-17,France
182,Christian,Dingert,1980-07-14,Germany
183,Hugo José,López Puerta,1978-05-16,Spain
184,Sian,Massey,1985-10-22,England
185,Darren,Cann,1969-01-22,England
186,Hernán,Maidana,1972-02-14,Argentina
187,Nicolás,Taran,1980-08-27,Uruguay
188,Lorenzo,Manganelli,"""""",Italy
189,Paolo,Valeri,1974-05-16,Italy
190,Edward,Smart,"""""",England
191,Juan Pablo,Belatti,1979-04-15,Argentina
192,Daniele,Chiffi,1984-12-14,Italy
193,Cristian,de la Cruz,"""""",Colombia
194,Ramón,Arias Madrid,1978-04-09,Spain
195,Alberto,Undiano Mallenco,1973-10-08,Spain
196,Sergio,Usón Rosel,1983-12-26,Spain
197,Mike,Jones,1968-04-18,England
198,Giulio,Dobosz,"""""",Italy
199,Antony,Gautier,1977-11-19,France
200,Juan José,Marmolejo Martínez,"""""",Spain
201,Marco,Zappatore,"""""",Italy
202,Marcel,Pelgrim,"""""",Germany
203,Juan Carlos,Yuste Jiménez,1975-09-25,Spain
204,Alexandru Dan,Tudor,1971-09-13,Romania
205,Jerónimo,Montes García Navas,1990-07-29,Spain
206,Redouane,Achik,1972-04-21,Morocco
207,Marco,Citro,"""""",Italy
208,Álvaro,López Parra,1987-03-12,Spain
209,José Enrique,Naranjo Pérez,"""""",Spain
210,Corey,Rockwell,1974-02-26,United States
211,Mauro,Tonolini,"""""",Italy
212,Octavian,Șovre,1973-07-19,Romania
213,Laurent,Stien,1973-11-17,France
214,Robert,Vukan,"""""",Slovenia
215,Sascha,Thielert,1980-01-25,Germany
216,Giampaolo,Calvarese,1976-02-20,Italy
217,Pablo,González,"""""",Argentina
218,Stefano,Liberti,"""""",Italy
219,Mike,Dean,1968-06-02,England
220,Peter James,Kirkup,1970-08-22,England
221,William,Lavis,1973-08-21,France
222,Sergio,Pérez Muley,1983-06-15,Spain
223,Benoît,Millot,1982-01-10,France
224,El Hadji Malick,Samba,"""""",Senegal
225,Albert,Catalá Ferrán,1989-03-19,Spain
226,Miguel,García Aceña,1985-04-04,Spain
227,Marco,Piccinini,1983-09-29,Italy
228,Cédric,Dos Santos,"""""",France
229,Stéphane,Jochem,1978-09-16,France
230,Matthew,Wilkes,"""""",England
231,Zakhele Thusi,Siwela,"""""",South Africa
232,Pablo,González Fuertes,1980-06-08,Spain
233,Milorad,Mažić,1973-03-23,Serbia
234,Daniel,Wärnmark,1974-12-30,Sweden
235,Rubén,Becerril Gómez,"""""",Spain
236,Christian,Dietz,1984-07-27,Germany
237,Javier,Martínez Nicolás,"""""",Spain
238,Luigi,Rossi,1982-07-27,Italy
239,Alejandro José,Hernández Hernández,1982-11-10,Spain
240,Daniel,Yuste Querol,1986-05-30,Spain
241,Jean-Claude,Birumushahu,1972-02-13,Burundi
242,Joel,Aguilar,"""""",Nicaragua
243,John,Brooks,"""""",England
244,Constantine,Hatzidakis,"""""",England
245,Iván,Pablo Gómez,"""""",Spain
246,Sandro,Schärer,1988-06-06,Switzerland
247,Mathieu,Vernice,"""""",France
248,Luca,Banti,1974-03-27,Italy
249,Luigi,Nasca,1977-11-15,Italy
250,Miguel,Martínez Munuera,"""""",Spain
251,Carlos Alberto,Carbonell Hernández,1984-08-03,Spain
252,Marcel,Roeleveld,"""""",Netherlands
253,Hüseyin,Göçek,1976-11-30,Turkey
254,Víctor,García Verdura,1994-10-12,Spain
255,César Manuel,Noval Font,"""""",Spain
256,Lorenzo,Illuzzi,1983-06-21,Italy
257,Andy,Garratt,"""""",England
258,Alessandro,Costanzo,"""""",Italy
259,Xabier,Gómez Landazábal,1988-02-25,Spain
260,Simon,Lount,"""""",New Zealand
261,Stephan,Klossner,1981-05-30,Switzerland
262,Thorsten,Schiffner,1975-05-14,Germany
263,Damiano,Di Iorio,"""""",Italy
264,Matteo,Passeri,"""""",Italy
265,Jorge,Díaz Escudero,1985-01-16,Spain
266,Sergio,Espasandín Cores,1990-01-21,Spain
267,Szymon,Marciniak,1981-01-07,Poland
268,Rodolfo,Di Vuolo,"""""",Italy
269,Markus,Schmidt,1973-08-31,Germany
270,Simon,Hooper,"""""",England
271,Alexander,Sather,"""""",Germany
272,Sébastien,Denis,1975-05-24,France
273,David,Medié Jiménez,1984-08-24,Spain
274,Simon,Beck,1972-05-15,England
275,Lorenzo,Gori,"""""",Italy
276,Lee,Betts,"""""",England
277,Luis Miguel,Montero de Lerma,1991-07-15,Spain
278,José,Gallego García,1976-08-17,Spain
279,Sergio,Ranghetti,"""""",Italy
280,Ryuji,Sato,1977-04-16,Japan
281,Salvador,Lax Franco,1991-01-22,Spain
282,Ciro,Carbone,"""""",Italy
283,Julien,Pacelli,"""""",France
284,Ricardo,De Burgos Bengoetxea,1986-03-16,Spain
285,Vencel,Toth,1978-03-24,Hungary
286,Florian,Heft,1990-01-03,Germany
287,Yannick,Boutry,"""""",France
288,Alexandre,Alemán Pérez,1987-06-07,Spain
289,Markus,Schüller,1981-07-31,Germany
290,Cyril,Gringore,"""""",France
291,Jonas,Eriksson,1974-03-28,Sweden
292,Javier,Iglesias Villanueva,1983-04-23,Spain
293,Aliaksei,Kulbakov,1979-12-27,Belarus
294,Jerson Emiliano,dos Santos,1983-05-01,Angola
295,Ravshan,Irmatov,1977-08-09,Uzbekistan
296,Marco,Bresmes,"""""",Italy
297,Michele,Lombardi,"""""",Italy
298,Carlos,Fernández Buergo,1994-12-20,Spain
299,Juan Carlos,Mora,"""""",Costa Rica
300,Benjamin,Pages,"""""",France
301,Stephen,Child,1973-08-21,England
302,Romain,Galibert,"""""",France
303,Nikolay,Golubev,1970-11-09,Russia
304,Karim,Abed,"""""",France
305,Nawaf Abdulla,Ghayyath Shukralla,1976-10-13,Bahrain
306,Ricardo,Montero,"""""",Costa Rica
307,Alessandro,Cipressa,"""""",Italy
308,Tony,Harrington,"""""",England
309,Marcelo,Carvalho Van Gasse,1976-03-09,Brazil
310,Samir,Amar Ahmed,1993-06-14,Spain
311,Giorgio,Schenone,"""""",Italy
312,Giovanni,Baccini,"""""",Italy
313,Antonio,Santoro,"""""",Italy
314,Gyorgy,Ring,1981-03-18,Hungary
315,Tikhon,Kalugin,1974-12-03,Russia
316,Markus,Hacker,1974-04-17,Germany
317,Piero,Giacomelli,1977-11-06,Italy
318,Bastian,Dankert,1980-06-09,Germany
319,Manuel,Gräfe,1973-09-21,Germany
320,Iván,Caparrós Hernández,1990-05-02,Spain
321,Francisco José,Hernández Maeso,1988-08-31,Belgium
322,Guillaume,Paradis,"""""",France
323,Daniele,Martinelli,1983-11-04,Italy
324,José Manuel,García Gómez,1991-01-21,Spain
325,Thorben,Siewer,1987-07-05,Germany
326,Wilmar Alexander,Roldán Pérez,1980-01-24,Colombia
327,Djemel,Zitouni,"""""",France
328,Mohammad Reza,Mansouri,"""""",Iran
329,Thomas,Gorniak,1980-07-25,Germany
330,Ian,Hussin,"""""",England
331,Frank,Connor,"""""",Scotland
332,Filippo,Meli,"""""",Italy
333,Óscar,Sauleda Torrent,1984-11-13,Spain
334,Florian,Badstübner,"""""",Germany
335,Jan Clemens,Neitzel,"""""",Germany
336,Andy,Madley,"""""",England
337,Daniele,Minelli,1982-07-09,Italy
338,Eugenio,Abbattista,1982-12-28,Italy
339,Jérémie,Pignard,"""""",France
340,Roberto,Alonso Fernández,1976-09-18,Spain
341,Taleb Salem,Al Marri,"""""",Qatar
342,Willy,Delajod,"""""",France
343,Alessandro,Lo Cicero,"""""",Italy
344,David,Fernández Borbalan,1973-05-30,Spain
345,Nicolas,Rainville,1982-03-18,France
346,Gianluca,Aureliano,1980-02-29,Italy
347,Amaury,Delerue,1977-06-06,France
348,Stuart,Burt,"""""",England
349,Reza Ebrahim,Sokhandan,1974-01-24,Iran
350,Mehdi,Abid Charef,"""""",Algeria
351,Tessema Weyesa,Bamlak,1980-12-30,Ethiopia
352,Francesco,Fourneau,1984-07-11,Italy
353,Christian,Bandurski,1982-12-22,Germany
354,José Joaquín,Gallego Gambín,1987-01-20,Spain
355,Eduard,Beitinger,1983-11-01,Germany
356,Gianluca,Rocchi,1973-08-25,Italy
357,Pedro,Sureda Cuenca,1979-10-21,Spain
358,Keith,Stroud,"""""",England
359,Daniele,Orsato,1975-11-23,Italy
360,Maurizio,Mariani,1982-02-25,Italy
361,Mikael,Lesage,1975-01-19,France
362,Tevita,Makasini,1976-11-26,Tonga
363,Alexandre,Viala,1975-05-01,France
364,Arno,Blos,1979-05-03,Germany
365,Iker,De Francisco Grijalba,"""""",Spain
366,Alejandro,Sánchez Alba,1990-02-03,Spain
367,Francisco Javier,Martín García,"""""",Spain
368,Sandro,Meira Ricci,1974-11-19,Brazil
369,Ibai,Rezola Etxeberría,1991-08-10,Spain
370,Jair,Marrufo,1977-06-17,United States
371,Norbert,Grudzinski,1977-05-12,Germany
372,Sébastien,Moreira,1977-05-27,France
373,José,Alcoba Rodríguez,"""""",Spain
374,Aitor,Villate Martínez,"""""",Spain
375,Francesco,Paolo Saia,1985-02-05,Italy
376,Raúl,Chavet García,1980-12-14,Spain
377,Frank,Anderson,1975-11-11,United States
378,Robert,Madley,1985-10-06,England
379,James,Linington,"""""",England
380,Mohamed Ahmed Yousuf,Al Hammadi,"""""",United Arab Emirates
381,Claudio,Gavillucci,1979-08-03,Italy
382,Adam,Nunn,"""""",England
383,José Luis,Munuera Montero,1984-05-19,Spain
384,Pere,Barceló Roca,1984-05-15,Spain
385,Mohammed Abdulla Hassan,Mohammed,"""""",United Arab Emirates
386,Sébastien,Desiage,1974-02-04,France
387,Floris,Aubin,1978-09-18,France
388,Thomas,Léonard,1981-08-28,France
389,Davide,Massa,1981-07-15,Italy
390,Antonello,Balice,1984-09-17,Italy
391,Timo,Gerach,1986-11-30,Germany
392,Robert,Hartmann,1979-09-08,Germany
393,David,Coote,"""""",England
394,Erwin,Zeinstra,1977-01-31,Netherlands
395,Daniel Jesús,Trujillo Suárez,1983-01-15,Spain
396,Ricardo,Escudero Marín,1984-11-25,Spain
397,Francisco,Sáez Vital,1985-10-23,Spain
398,Francisco David,Alonso Ramírez,"""""",Spain
399,Stéphane,Lannoy,1969-09-18,France
400,Iñigo,Prieto López de Ceraín,"""""",Spain
401,Juan,Zorrilla,"""""",Paraguay
402,Juan Francisco,Zumba,1982-09-19,El Salvador
403,Martin,Petersen,1985-02-28,Germany
404,Pavel,Kralovec,1977-08-16,Czech Republic
405,Jesús,Gil Manzano,1984-02-04,Spain
406,Tomasz,Listkiewicz,"""""",Poland
407,Philippe,Jeanne,1980-11-11,France
408,Aimar,Velasco Arbaiza,1988-11-18,Spain
409,Robert,Schröder,1985-09-14,Germany
410,Sebastián,Ripoll Solano,1979-01-28,Spain
411,Paolo,Tagliavento,1972-09-19,Italy
412,Vito,Mastrodonato,"""""",Italy
413,Alfonso,Costoya Rodríguez,"""""",Spain
414,Guillermo,Conejero Sánchez,1988-07-25,Spain
415,Marco,Serra,1982-09-09,Italy
416,Rafael,Foltyn,1985-06-21,Germany
417,Gianmattia,Tasso,"""""",Italy
418,Fernando,Román Román,1988-02-23,Spain
419,Miguel Ángel,Hernández Paredes,1977-06-18,Mexico
420,Romain,Delpech,1979-12-21,France
421,Pawel,Sokolnicki,"""""",Poland
422,Matteo,Bottegoni,"""""",Italy
423,Alexandre,Castro,1970-12-10,France
424,Christophe,Mouysset,"""""",France
425,Riccardo,Di Fiore,"""""",Italy
426,Giorgio,Peretti,"""""",Italy
427,Claudio La,Rocca,"""""",Italy
428,Ángel,Hernández Lorenzo,1985-11-19,Spain
429,Lee,Probert,1972-08-13,England
430,Tony,Chapron,1972-04-23,France
431,Chris,Kavanagh,"""""",England
432,Benedikt,Kempkes,"""""",Germany
433,Anthony,Taylor,1978-10-20,England
434,Juan,Martinez Munuera,"""""",Spain
435,Jérôme,Miguelgorry,1976-05-22,France
436,Holger,Henschel,1972-12-27,Germany
437,Hakim,Ben El Hadj,1978-05-30,France
438,José Carlos,Escuela Melo,"""""",Spain
439,Abraham,Domínguez Cervantes,1986-10-12,Spain
440,Scott,Ledger,"""""",England
441,Alessio,Tolfo,"""""",Italy
442,Stefano,Del Giovane,1977-11-03,Italy
443,Bastien,Dechepy,"""""",France
444,Jérôme,Brisard,1986-03-24,France
445,Niccolò,Pagliardini,"""""",Italy
446,José Antonio,Sánchez Villalobos,1991-07-06,Spain
447,Jake,Collin,"""""",England
448,Alfonso,Vicente Moral,1983-04-05,Spain
449,Mauricio,Espinosa Rodríguez,1972-05-06,Uruguay
450,Daniele,Bindoni,"""""",Italy
451,Antonio,Monter Soláns,1987-10-16,Spain
452,Julio,Mena Gimeno,1985-12-18,Spain
453,Óscar,Martínez Santos,1985-08-05,Spain
454,Stefano,Bellutti,"""""",Italy
455,Guido,Kleve,1976-10-17,Germany
456,Daniel,Cook,"""""",England
457,Kim,Haglund,1977-05-27,Norway
458,François,Letexier,"""""",France
459,Alexandre,Perreau Niel,1983-02-15,France
460,Fabio,Maresca,1981-04-12,Italy
461,Sebastian Eugen,Gheorghe,1976-03-07,Romania
462,Steve,Martin,"""""",England
463,Óscar,Herrero Arenas,1978-03-20,Spain
464,Derek,Eaton,"""""",England
465,Antonio,Santos Pargaña,1980-10-14,Spain
466,Filippo,Valeriani,"""""",Italy
467,Daniel,Schlager,1989-12-08,Germany
468,Antonio,Giua,1988-03-11,Italy
469,Thomas,Stein,1982-04-21,Germany
470,Bahattin,Duran,1975-09-26,Turkey
471,Svein Oddvar,Moen,1979-01-22,Norway
472,Eduardo,Cardozo,"""""",Paraguay
473,Marcos,Álvarez Moreno,"""""",Spain
474,Sander,van Roekel,1974-03-28,Netherlands
475,Alfonso,Marrazzo,"""""",Italy
476,Alberto,Lou Ballano,1992-09-22,Spain
477,David,Gálvez Rascón,1981-08-25,Spain
478,Antonio,Artacho Cobo,1987-03-15,Spain
479,Marco,Fritz,1977-10-03,Germany
480,Mark,Geiger,1974-08-25,United States
481,Frédéric,Haquette,1975-08-15,France
482,Martin,Atkinson,1971-03-31,England
483,Daniel,Siebert,1984-05-04,Germany
484,Julio Fermín,Leo Ollo,1979-10-16,Spain
485,Pol,van Boekel,1975-09-19,Netherlands
486,Julien,Aube,1986-05-08,France
487,Giuseppe,Opromolla,"""""",Italy
488,Eric,Danizan,1979-02-26,France
489,Eduardo,Prieto Iglesias,1981-05-17,Spain
490,Hassan Mohammed Hassan Abdullah,Suqatari Al Mahri,"""""",United Arab Emirates
491,Andrea,Tardino,1984-02-02,Italy
492,Roberto,Díaz Pérez Del Palomar,1976-04-29,Spain
493,Pedro Eugenio,Muñoz Piedra,1983-12-13,Spain
494,Joan,Méndez Mateo,"""""",Spain
495,Jonathan,Moss,1970-10-18,England
496,Damir,Skomina,1976-08-05,Slovenia
497,Daniel,Robathan,"""""",England
498,Marco,Guida,1981-06-07,Italy
499,Anastasios,Sidiropoulos,1979-08-09,Greece
500,Germán,Cid Camacho,1987-07-17,Spain
501,Darren,England,"""""",England
502,Kevin,Friend,1971-07-08,England
503,Roman,Slysko,1973-08-04,Slovakia
504,Enrico,Caliari,"""""",Italy
505,Julio,Bascuñán González,1978-06-11,Chile
506,Tobias,Reichel,"""""",Germany
507,Bekim,Zogaj,1979-09-28,Switzerland
508,César,García Fernández,"""""",Spain
509,Mike,Pickel,1975-04-08,Germany
510,Djibril,Camara,1983-08-20,Senegal
511,Gary,Beswick,"""""",England
512,Pablo,Fernández Pérez,1982-07-10,Spain
513,Geoff,Eltringham,"""""",England
514,Robert Massey,Ellis,"""""",England
515,Alberto,Santoro,"""""",Italy
516,Carlos,Velasco Carballo,1971-03-16,Spain
517,Davide,Ghersini,1985-04-09,Italy
518,Stuart,Attwell,1982-10-06,England
519,Robert,Kampka,1982-02-21,Germany
520,Juan Antonio,Campos Salinas,1989-10-16,Spain
521,José Luis,Martínez Serrato,"""""",Spain
522,Carlos,Calderiña Pavón,"""""",Spain
523,Juan,Peña Varela,1985-04-30,Spain
524,Raúl,Cabañero Martínez,"""""",Spain
525,Juan Luca,Sacchi,1984-10-13,Italy
526,Jorge,Bueno Mateo,"""""",Spain
527,David,Recio Moreno,1989-07-29,Spain
528,Aleandro,Di Paolo,1977-10-21,Italy
529,Ignacio,Rubio Palomino,"""""",Spain
530,Pablo,Brea Peón,1982-11-11,Spain
531,Bobby,Madden,"""""",Scotland
532,Marc,Perry,"""""",England
533,Javier,Alberola Rojas,1991-06-22,Spain
534,Andrea,Crispo,"""""",Italy
535,Andy,Davies,"""""",England
536,Jakhongir,Saidov,"""""",Uzbekistan
537,Rubén,Ávalos Barrera,1987-09-12,Spain
538,Michael,Fabbri,1983-12-08,Italy
539,Dario,Cecconi,"""""",Italy
540,Marco,Scatragli,"""""",Italy
541,Viktor,Kassai,1975-09-10,Hungary
542,Marcos,Cerdán Aguilar,"""""",Spain
543,Ruddy,Buquet,1977-01-29,France
544,Stephan,Luzi,1974-12-18,France
545,Markus,Sinn,1979-02-02,Germany
546,Giovanni,Luciano,"""""",Italy
547,Enrique,Cáceres,"""""",Paraguay
548,Alejandro,Muñíz Ruiz,1991-05-24,Spain
549,Christian,Fischer,1970-08-04,Germany
550,Fabrizio,Posado,"""""",Italy
551,Mario,Melero López,1979-07-02,Spain
552,Emanuele,Prenna,"""""",Italy
553,Daniel,Palencia Caballero,1992-01-30,Spain
554,Jure,Praprotnik,"""""",Slovenia
555,José Luis,González González,1974-09-06,Spain
556,Raúl Martín,González Francés,1988-10-11,Spain
557,Remi,Landry,"""""",France
558,François,Boudikian,"""""",France
559,Mark,Borsch,1977-03-16,Germany
560,Matthieu,Lombard,"""""",France
561,Stefano,Giovani,"""""",Italy
562,Stefano,Longo,"""""",France
563,Christof,Günsch,"""""",Germany
564,Janny,Sikazwe,1979-05-26,Zambia
565,Jeremy,Simpson,1975-05-13,England
566,Gilles,Lang,"""""",France
567,José Manuel,Matías Caballero,1973-08-10,Spain
568,Fabiano,Preti,"""""",Italy
569,Jean-Yves,Wicht,"""""",Switzerland
570,Frédéric,Cano,1973-07-23,France
571,Kader,Zitouni,"""""",Tahiti
572,Malang,Diedhiou,"""""",Senegal
573,Tarcisio,Villa,"""""",Italy
574,Felix,Brych,1975-08-03,Germany
575,Luca,Pairetto,1984-04-14,Italy
576,Jon,Núñez Fernández,"""""",Spain
577,Albert,Ávalos Martos,1986-04-22,Spain
578,Damien,McGraith,1980-10-12,Ireland Republic
579,Daniel David,Baiges Dones,1989-11-26,Spain
580,Alexander,González,"""""",Venezuela
581,Johann,Pfeifer,"""""",Germany
582,Mateo Valero,Francisco Javier,"""""",Spain
583,Mikael,Berchebru,"""""",France
584,Livio,Marinelli,1984-11-06,Italy
585,Sylvain,Palhies,1977-11-11,France
586,David Jesús,Pinto Herrera,1981-08-20,Spain
587,Dalibor,Đurđević,1973-03-25,Serbia
588,Robert,Kempter,1988-03-22,Germany
589,Francesco,Fiore,1982-11-03,Italy
590,Tobias,Christ,1976-06-26,Germany
591,Christian,Leicher,1978-08-21,Germany
592,Andoni,Huerga Cermeño,"""""",Spain
593,Nicolas,Danos,"""""",France
594,Paolo Silvio,Mazzoleni,1974-06-12,Italy
595,Antoine,Grare,"""""",France
596,Fabio,Piscopo,1986-11-03,Italy
597,Emerson Augusto,De Carvalho,1972-06-24,Brazil
598,Marvin César,Torrentera Rivera,1971-02-25,Mexico
599,Diego,Barbero Sevilla,"""""",Spain
